busNum,00시승차총승객수,1시승차총승객수,2시승차총승객수,3시승차총승객수,4시승차총승객수,5시승차총승객수,6시승차총승객수,7시승차총승객수,8시승차총승객수,9시승차총승객수,10시승차총승객수,11시승차총승객수,12시승차총승객수,13시승차총승객수,14시승차총승객수,15시승차총승객수,16시승차총승객수,17시승차총승객수,18시승차총승객수,19시승차총승객수,20시승차총승객수,21시승차총승객수,22시승차총승객수,23시승차총승객수,AllPassengers,지나는 지역구 거주민 평균 (반올림),지나는 지역구 거주민 합,노선별 겹치는 노선 수,환승 비율 총 승객수,총승객수/거리,배차간격
705,995,10,0,0,2732,4390,5663,11691,11548,8042,6645,6997,7990,9041,9706,11393,12561,12841,13076,9851,7075,6404,6306,3550,168507,"272,174","1,088,696",47,"567,325",4223.233,18
707,3252,1488,341,0,479,2313,4687,10179,14848,9938,8327,8000,8587,9404,9284,10365,10678,12676,14190,8682,7055,7630,7586,4491,174480,"272,174","1,088,696",43,"453,474",2782.775,14
708,677,0,0,0,650,3743,5899,16174,15037,10758,7662,7313,7909,8543,9690,12511,15097,14587,16609,11382,8986,8519,7435,3776,192957,"272,174","1,088,696",34,"427,602",5675.206,12
710,866,1,0,0,4469,8076,7731,16825,19581,13271,10369,11020,12294,12162,12123,13858,16403,18534,20236,12352,9828,9856,9450,2988,242293,"321,086","1,605,429",48,"1,939,076",4985.453,9
720,5700,563,0,0,5547,9686,15748,38709,44990,31560,30679,34390,37169,38853,40757,43003,47255,44818,48954,35038,25784,26336,26366,12545,644450,"326,890","1,307,558",49,"1,417,693",13227.63,9
721,1824,1,0,0,3837,9799,15448,35620,45059,29249,24481,25170,28604,32162,32575,33112,34538,37282,44227,29771,22719,23550,23410,7819,540257,"296,036","1,184,142",48,"1,187,562",12477.07,8
740,1238,5,0,0,4365,9117,14361,27736,33351,23169,15554,15792,17757,19860,19946,21602,22869,24523,26414,19523,16178,17787,20061,6983,378191,"397,436","2,384,614",36,"308,857",7788.118,12
741,4443,558,0,0,10561,9604,14810,33103,35865,24792,18494,17687,19999,20968,21781,26464,31238,38601,43402,26519,19537,20125,20183,7359,466093,"328,096","2,296,673",52,"1,478,600",7083.48,10
742,297,48,0,0,1018,799,1348,3484,3895,2912,2460,2468,2513,2705,2485,2831,3342,3466,3967,2715,2124,2279,2540,821,50517,"333,129","1,998,773",61,"1,261,041",1068.013,8
752,1033,0,0,0,4821,8295,15771,37455,43522,28227,22573,22966,26411,26659,25778,28589,34094,35892,42250,29729,23489,24785,23682,6749,512770,"307,906","2,155,340",43,"1,045,961",10015.04,9
753,1450,0,0,0,4137,5900,9911,22687,25864,19303,15927,16675,18472,19182,21189,23087,27151,28454,31375,24446,19742,18988,17768,5009,376717,"395,582","1,977,912",41,"398,921",7656.85,12
761,3478,211,0,0,3220,4884,8091,21046,23800,16694,14632,15884,18227,19145,19228,21884,25134,25427,27929,21097,16015,16626,17660,8084,348396,"394,927","1,579,707",34,"254,842",8933.231,13
771,1120,390,0,0,675,2474,3694,8653,12272,6715,4709,4795,5396,5721,5846,6772,7395,9077,9876,6569,4414,4513,4799,2281,118156,"428,912","857,823",14,"44,692",2229.358,22
773,6607,2981,1226,0,865,1850,4307,12330,16726,10861,8928,9365,10956,11768,11656,14019,14956,17185,16879,11563,9128,9946,12264,8480,224846,"479,607","479,607",13,"176,812",2676.738,17
774,1614,87,0,0,2786,4663,8730,13881,13777,9976,9022,8797,9236,8980,8588,9598,12080,15328,16781,11181,7696,7934,7446,4394,192575,"479,607","479,607",10,"268,611",2595.35,18
702A,399,0,0,0,7217,10847,15440,30021,34937,26103,20669,20906,24368,23582,24254,29014,30173,31579,37061,27758,21143,20323,17453,6432,459679,"192,471","769,882",44,"515,147",15002.58,6
702B,147,0,0,0,2841,4731,7321,16098,18681,12311,9468,10120,10573,11601,11361,13569,15826,16240,18289,14088,10623,10006,9418,2944,226256,"192,471","769,882",44,"515,017",7178.173,11
750A,592,12,0,0,2111,4202,7894,20032,22154,13921,10289,9654,9029,8311,9792,12933,17077,19522,23351,14244,10377,10194,9471,3062,238224,"326,574","2,612,593",51,"1,178,282",5076.156,10
750B,681,3,0,0,1905,3608,7205,17641,20318,12912,9246,9375,9866,11251,10625,11338,14049,16235,17205,11680,8934,9120,8790,3695,215682,"326,574","2,612,593",50,"1,007,036",4901.864,6
